date,sunrise,sunset
1/1/2015,7:20:08,16:39:28
1/2/2015,7:20:12,16:40:19
1/3/2015,7:20:14,16:41:12
1/4/2015,7:20:14,16:42:06
1/5/2015,7:20:12,16:43:02
1/6/2015,7:20:07,16:43:59
1/7/2015,7:20:00,16:44:57
1/8/2015,7:19:51,16:45:57
1/9/2015,7:19:40,16:46:58
1/10/2015,7:19:26,16:48:00
1/11/2015,7:19:10,16:49:03
1/12/2015,7:18:52,16:50:07
1/13/2015,7:18:32,16:51:13
1/14/2015,7:18:09,16:52:19
1/15/2015,7:17:45,16:53:26
1/16/2015,7:17:18,16:54:33
1/17/2015,7:16:49,16:55:42
1/18/2015,7:16:18,16:56:51
1/19/2015,7:15:45,16:58:01
1/20/2015,7:15:09,16:59:11
1/21/2015,7:14:32,17:00:22
1/22/2015,7:13:53,17:01:34
1/23/2015,7:13:11,17:02:46
1/24/2015,7:12:28,17:03:58
1/25/2015,7:11:43,17:05:11
1/26/2015,7:10:55,17:06:24
1/27/2015,7:10:06,17:07:37
1/28/2015,7:09:16,17:08:51
1/29/2015,7:08:23,17:10:05
1/30/2015,7:07:28,17:11:19
1/31/2015,7:06:32,17:12:33
8/1/2015,4:53:12,19:11:28
8/2/2015,4:54:09,19:10:22
8/3/2015,4:55:07,19:09:15
8/4/2015,4:56:05,19:08:06
8/5/2015,4:57:03,19:06:55
8/6/2015,4:58:01,19:05:43
8/7/2015,4:59:00,19:04:30
8/8/2015,4:59:58,19:03:16
8/9/2015,5:00:57,19:02:00
8/10/2015,5:01:56,19:00:43
8/11/2015,5:02:55,18:59:25
8/12/2015,5:03:54,18:58:06
8/13/2015,5:04:53,18:56:45
8/14/2015,5:05:52,18:55:23
8/15/2015,5:06:51,18:54:01
8/16/2015,5:07:50,18:52:37
8/17/2015,5:08:49,18:51:12
8/18/2015,5:09:48,18:49:46
8/19/2015,5:10:47,18:48:19
8/20/2015,5:11:46,18:46:52
8/21/2015,5:12:45,18:45:23
8/22/2015,5:13:44,18:43:53
8/23/2015,5:14:43,18:42:23
8/24/2015,5:15:42,18:40:52
8/25/2015,5:16:41,18:39:20
8/26/2015,5:17:40,18:37:47
8/27/2015,5:18:39,18:36:14
8/28/2015,5:19:37,18:34:40
8/29/2015,5:20:36,18:33:05
8/30/2015,5:21:35,18:31:30
8/31/2015,5:22:33,18:29:54
