Geo_FIPS,Geo_NAME,Geo_GEOID,Geo_AREALAND,Geo_AREAWATR,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T128_001,SE_T128_002,SE_T128_009,SE_T128_010,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T128_007,SE_T128_008,SE_T129_001,SE_T129_002,SE_T129_003,SE_T129_004,SE_T129_005,SE_T129_006,SE_T129_007,SE_T129_008,SE_T129_009,SE_T129_010
53033000100,"Census Tract 1, King County, Washington",14000US53033000100,1910585,1486352,6918,6918,9378.037,0.737681024,3448,2467,2067,400,685,0,83,86,5,122,3448,3326,197,764,945,766,405,162,87,122
53033000200,"Census Tract 2, King County, Washington",14000US53033000200,3286319,0,7974,7974,6284.406,1.268854914,4007,2873,2415,458,699,0,129,61,0,245,4007,3762,88,896,854,904,762,183,75,245
53033000300,"Census Tract 3, King County, Washington",14000US53033000300,1210516,0,2637,2637,5642.055,0.46738286,1403,960,735,225,309,0,0,78,14,42,1403,1361,82,237,302,351,186,140,63,42
53033000401,"Census Tract 4.01, King County, Washington",14000US53033000401,1281899,81874,5907,5907,11934.68,0.494943992,2691,1976,1681,295,385,0,19,229,19,63,2691,2628,274,464,833,421,397,206,33,63
53033000402,"Census Tract 4.02, King County, Washington",14000US53033000402,1798936,0,4906,4906,7063.332,0.694573102,2644,1838,1458,380,406,23,86,0,15,276,2644,2368,135,525,505,457,727,19,0,276
53033000500,"Census Tract 5, King County, Washington",14000US53033000500,2882910,932456,3044,3044,2734.71,1.113097821,1537,1239,1066,173,148,0,0,0,42,108,1537,1429,48,276,371,418,242,57,17,108
53033000600,"Census Tract 6, King County, Washington",14000US53033000600,3783740,54223,7674,7674,5252.89,1.460910244,4272,3091,2561,530,788,40,23,89,0,241,4272,4031,274,985,987,872,556,196,161,241
53033000700,"Census Tract 7, King County, Washington",14000US53033000700,1294675,0,4892,4892,9786.411,0.499876833,2768,1869,1590,279,765,14,28,59,0,33,2768,2735,125,615,582,617,419,242,135,33
53033000800,"Census Tract 8, King County, Washington",14000US53033000800,1141587,0,2487,2487,5642.409,0.440769224,1376,991,831,160,228,9,17,10,9,112,1376,1264,86,226,243,299,304,59,47,112
53033000900,"Census Tract 9, King County, Washington",14000US53033000900,996458,2531309,1971,1971,5123.012,0.384734601,1067,784,682,102,161,14,43,10,4,51,1067,1016,37,209,267,305,130,68,0,51
53033001000,"Census Tract 10, King County, Washington",14000US53033001000,954457,0,2094,2094,5682.22,0.368517924,966,510,395,115,233,0,22,39,0,162,966,804,44,128,220,183,149,71,9,162
53033001100,"Census Tract 11, King County, Washington",14000US53033001100,1060418,0,2669,2669,6518.824,0.409429696,1497,933,843,90,333,0,71,39,36,85,1497,1412,171,170,401,308,176,150,36,85
53033001200,"Census Tract 12, King County, Washington",14000US53033001200,1834052,0,6556,6556,9258.168,0.708131466,3219,1845,1527,318,835,15,15,238,58,213,3219,3006,268,574,769,772,370,171,82,213
53033001300,"Census Tract 13, King County, Washington",14000US53033001300,1183989,0,4389,4389,9600.982,0.457140728,2782,1944,1289,655,526,29,131,31,0,121,2782,2661,43,847,634,703,238,146,50,121
53033001400,"Census Tract 14, King County, Washington",14000US53033001400,2137298,211433,5505,5505,6670.985,0.825215406,3301,2605,2273,332,462,0,27,30,0,177,3301,3124,96,756,781,576,613,157,145,177
53033001500,"Census Tract 15, King County, Washington",14000US53033001500,1170487,398486,2398,2398,5306.16,0.451927576,1278,951,851,100,164,7,47,11,0,98,1278,1180,82,242,307,273,258,18,0,98
53033001600,"Census Tract 16, King County, Washington",14000US53033001600,2041021,457717,4111,4111,5216.723,0.788042647,2184,1645,1440,205,298,0,47,49,14,131,2184,2053,188,307,572,524,371,84,7,131
53033001701,"Census Tract 17.01, King County, Washington",14000US53033001701,892771,0,4055,4055,11763.82,0.344700825,2626,1716,1493,223,540,13,114,105,9,129,2626,2497,197,715,478,439,550,91,27,129
53033001702,"Census Tract 17.02, King County, Washington",14000US53033001702,1280222,0,4408,4408,8917.725,0.494296499,2540,1587,1379,208,744,7,52,67,0,83,2540,2457,39,375,708,569,546,168,52,83
53033001800,"Census Tract 18, King County, Washington",14000US53033001800,942974,0,5217,5217,14329.1,0.364084312,3628,2438,1961,477,822,0,43,219,29,77,3628,3551,132,848,965,865,558,138,45,77
53033001900,"Census Tract 19, King County, Washington",14000US53033001900,1663251,0,4723,4723,7354.581,0.642184829,2547,1697,1494,203,498,24,121,90,0,117,2547,2430,216,602,758,411,356,67,20,117
53033002000,"Census Tract 20, King County, Washington",14000US53033002000,1103292,28680,3600,3600,8451.033,0.425983441,2171,1473,1175,298,307,11,169,52,8,151,2171,2020,79,672,588,380,195,82,24,151
53033002100,"Census Tract 21, King County, Washington",14000US53033002100,1365467,0,4148,4148,7867.836,0.527209779,2442,1782,1450,332,372,27,118,34,18,91,2442,2351,184,646,599,493,330,90,9,91
53033002200,"Census Tract 22, King County, Washington",14000US53033002200,2767963,1488647,5622,5622,5260.516,1.068716535,2755,1888,1627,261,437,33,171,17,0,209,2755,2546,127,607,733,583,441,55,0,209
53033002400,"Census Tract 24, King County, Washington",14000US53033002400,978103,0,2994,2994,7928.024,0.377647696,1696,1193,992,201,297,8,52,60,0,86,1696,1610,152,437,334,391,210,50,36,86
