Country,GDP
Afghanistan,"19,702,986,340.5"
Albania,"11,390,365,293.8"
Algeria,"164,779,467,703.3"
American Samoa,"641,000,000.0"
Andorra,..
Angola,"102,962,245,246.7"
Antigua and Barbuda,"1,355,645,888.9"
Argentina,"584,711,485,367.3"
Armenia,"10,529,182,498.3"
Aruba,..
Australia,"1,345,383,143,356.4"
Austria,"376,967,406,148.0"
Azerbaijan,"53,074,370,486.0"
"Bahamas, The","8,854,000,000.0"
Bahrain,"31,125,851,063.8"
Bangladesh,"195,078,561,219.3"
Barbados,"4,421,800,000.0"
Belarus,"56,454,775,871.0"
Belgium,"454,991,318,727.9"
Belize,"1,742,545,900.0"
Benin,"8,290,986,804.5"
Bermuda,..
Bhutan,"2,057,947,621.2"
Bolivia,"33,000,198,263.4"
Bosnia and Herzegovina,"16,173,806,634.5"
Botswana,"14,430,608,463.4"
Brazil,"1,803,652,649,613.8"
British Virgin Islands,..
Brunei Darussalam,"12,930,394,937.8"
Bulgaria,"50,199,117,547.0"
Burkina Faso,"11,148,759,324.5"
Burundi,"3,097,324,739.8"
Cabo Verde,"1,574,288,667.7"
Cambodia,"18,049,954,289.4"
Cameroon,"28,415,950,981.4"
Canada,"1,552,807,652,015.4"
Cayman Islands,..
Central African Republic,"1,583,776,760.0"
Chad,"10,888,798,113.8"
Channel Islands,..
Chile,"242,517,905,161.7"
China,"11,064,664,793,255.7"
Colombia,"291,519,591,533.0"
Comoros,"565,689,764.6"
"Congo, Dem. Rep.","36,188,521,106.9"
"Congo, Rep.","8,553,154,505.8"
Costa Rica,"54,840,103,850.3"
Cote d'Ivoire,"32,828,516,580.3"
Croatia,"48,676,334,689.4"
Cuba,"87,132,800,000.0"
Curacao,..
Cyprus,"19,559,942,331.2"
Czech Republic,"185,156,359,571.1"
Denmark,"301,307,828,843.6"
Djibouti,"1,727,000,000.0"
Dominica,"517,218,963.0"
Dominican Republic,"68,102,618,092.1"
Ecuador,"100,176,808,000.0"
"Egypt, Arab Rep.","332,698,041,030.8"
El Salvador,"26,052,340,000.0"
Equatorial Guinea,"12,162,117,377.4"
Eritrea,..
Estonia,"22,460,470,490.0"
Ethiopia,"64,464,423,674.7"
Faroe Islands,..
Fiji,"4,391,064,780.8"
Finland,"232,361,689,855.1"
France,"2,433,562,015,516.2"
French Polynesia,..
Gabon,"14,262,032,470.9"
"Gambia, The","938,794,719.4"
Georgia,"13,993,546,732.5"
Germany,"3,363,599,907,529.8"
Ghana,"37,543,361,203.6"
Gibraltar,..
Greece,"194,860,187,692.5"
Greenland,"2,220,380,802.3"
Grenada,"984,074,074.1"
Guam,"5,734,000,000.0"
Guatemala,"63,767,597,193.9"
Guinea,"6,699,203,543.3"
Guinea-Bissau,"1,056,776,896.9"
Guyana,"3,179,104,116.2"
Haiti,"8,724,656,126.5"
Honduras,"20,844,308,600.9"
"Hong Kong SAR, China","309,403,880,389.1"
Hungary,"121,715,203,207.6"
Iceland,"16,783,714,958.4"
India,"2,111,751,098,184.5"
Indonesia,"861,256,351,277.4"
"Iran, Islamic Rep.","393,436,064,441.7"
Iraq,"179,640,210,726.4"
Ireland,"283,716,006,697.6"
Isle of Man,..
Israel,"299,415,714,726.8"
Italy,"1,824,902,219,021.7"
Jamaica,"14,261,995,113.7"
Japan,"4,383,076,298,081.9"
Jordan,"37,517,410,281.7"
Kazakhstan,"184,388,432,148.7"
Kenya,"63,767,539,356.6"
Kiribati,"160,121,929.2"
"Korea, Dem. People’s Rep.",..
"Korea, Rep.","1,382,764,027,113.8"
Kosovo,"6,440,501,275.4"
Kuwait,"114,041,209,704.2"
Kyrgyz Republic,"6,678,178,340.5"
Lao PDR,"14,390,323,462.0"
Latvia,"27,026,037,600.3"
Lebanon,"47,084,703,150.9"
Lesotho,"2,335,194,894.3"
Liberia,"2,034,000,000.0"
Libya,..
Liechtenstein,..
Lithuania,"41,402,022,148.2"
Luxembourg,"58,048,242,436.1"
"Macao SAR, China","45,415,278,647.5"
"Macedonia, FYR","10,051,659,161.2"
Madagascar,"9,738,652,322.2"
Malawi,"6,373,201,160.0"
Malaysia,"296,283,190,372.6"
Maldives,"3,435,244,658.8"
Mali,"12,746,688,961.8"
Malta,"10,287,007,021.2"
Marshall Islands,"179,432,600.0"
Mauritania,"4,844,223,517.9"
Mauritius,"11,681,761,261.0"
Mexico,"1,151,037,122,909.1"
"Micronesia, Fed. Sts.","314,971,100.0"
Moldova,"6,512,899,540.3"
Monaco,..
Mongolia,"11,741,338,841.1"
Montenegro,"4,019,889,098.4"
Morocco,"100,593,283,696.7"
Mozambique,"14,798,399,861.6"
Myanmar,"62,600,906,116.1"
Namibia,"11,491,507,355.6"
Nauru,"100,459,782.6"
Nepal,"21,313,549,578.7"
Netherlands,"750,318,056,805.6"
New Caledonia,..
New Zealand,"175,564,427,552.8"
Nicaragua,"12,747,741,539.7"
Niger,"7,142,951,342.4"
Nigeria,"481,066,152,870.3"
Northern Mariana Islands,"922,000,000.0"
Norway,"386,578,443,732.6"
Oman,"69,831,770,995.5"
Pakistan,"271,049,886,672.7"
Palau,"287,400,000.0"
Panama,"52,132,289,700.0"
Papua New Guinea,..
Paraguay,"27,282,581,335.8"
Peru,"189,212,096,470.3"
Philippines,"292,774,099,014.2"
Poland,"477,336,782,066.6"
Portugal,"199,082,291,239.3"
Puerto Rico,..
Qatar,"164,641,483,516.5"
Romania,"177,522,705,145.2"
Russian Federation,"1,365,865,245,098.2"
Rwanda,"8,261,034,257.6"
Samoa,"803,976,511.5"
San Marino,..
Sao Tome and Principe,"317,696,178.7"
Saudi Arabia,"654,269,902,888.7"
Senegal,"13,609,978,076.4"
Serbia,"37,160,332,465.2"
Seychelles,"1,437,722,206.4"
Sierra Leone,"4,251,779,857.0"
Singapore,"296,840,704,102.4"
Sint Maarten (Dutch part),..
Slovak Republic,"87,267,593,788.2"
Slovenia,"42,776,716,631.1"
Solomon Islands,"1,129,164,718.8"
Somalia,"5,925,000,000.0"
South Africa,"317,406,594,612.4"
South Sudan,"9,015,221,096.2"
Spain,"1,192,955,480,686.4"
Sri Lanka,"80,611,989,527.2"
St. Kitts and Nevis,"876,478,555.6"
St. Lucia,"1,431,135,703.7"
St. Martin (French part),..
St. Vincent and the Grenadines,"737,683,555.6"
Sudan,"97,156,119,150.0"
Suriname,"4,878,731,707.3"
Swaziland,"4,137,638,726.7"
Sweden,"495,694,356,611.6"
Switzerland,"670,789,928,809.9"
Syrian Arab Republic,..
Tajikistan,"7,853,450,374.0"
Tanzania,"45,628,247,290.5"
Thailand,"399,234,547,137.5"
Timor-Leste,"1,441,718,600.0"
Togo,"4,087,628,276.0"
Tonga,"435,430,325.2"
Trinidad and Tobago,"23,559,287,483.9"
Tunisia,"43,156,606,851.5"
Turkey,"859,383,637,728.9"
Turkmenistan,"35,799,628,571.4"
Turks and Caicos Islands,..
Tuvalu,"32,673,277.7"
Uganda,"27,856,380,083.2"
Ukraine,"91,030,959,454.7"
United Arab Emirates,"357,949,199,759.6"
